ISIN,Name,RIC,Ticker,Sector,Cap
US40412C1018,HCA Healthcare Inc,HCA.GTX,2BH,Healthcare Facilities & Services (NEC),56793597176
US45866F1049,Intercontinental Exchange Inc,IC2.GTX,IC2,Financial & Commodity Market Operators & Service Providers (NEC),56320511991
US0091581068,Air Products and Chemicals Inc,APD.GTX,AP3,Industrial Gases,55993153005
US28176E1082,Edwards Lifesciences Corp,EW.GTX,EWL,Advanced Medical Equipment & Technology (NEC),55856870426
US37045V1008,General Motors Co,GMC.GTX,8GM,Auto & Truck Manufacturers (NEC),55712050685
US31620M1062,Fidelity National Information Services Inc,FIS.GTX,ZGY,Financial Technology (Fintech) (NEC),55551000661
US6974351057,Palo Alto Networks Inc,5AP.GTX,5AP,Internet Security & Transactions Services,55477981505
US31428X1063,FedEx Corp,FDX.GTX,FDX,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",54791132539
US49271V1008,Keurig Dr Pepper Inc,DP5.GTX,DP5,Non-Alcoholic Beverages (NEC),53982176441
AN8068571086,Schlumberger NV,SLB.GTX,SCL,Oil Related Services and Equipment (NEC),53958912271
US2566771059,Dollar General Corp,DG.GTX,7DG,Discount Stores (NEC),53555239899
US8716071076,Synopsys Inc,SNPS.GTX,SYP,Software (NEC),52910383250
US58155Q1031,Mckesson Corp,MCK.GTX,MCK,Drug Retailers (NEC),52749076985
US6153691059,Moody's Corp,MCO.GTX,DUT,Rating Agencies,52209420000
US8168511090,Sempra Energy,SRE.GTX,SE4,Multiline Utilities,51851775305
US60770K1079,Moderna Inc,0QF.GTX,0QF,Biotechnology & Medical Research (NEC),51743963684
US0255371017,American Electric Power Company Inc,AEP.GTX,AEP,Electric Utilities (NEC),51476145196
US59156R1086,MetLife Inc,MET.GTX,MWZ,Life & Health Insurance (NEC),51310529141
US15135B1017,Centene Corp,QEN.GTX,QEN,Managed Healthcare (NEC),51293664850
US56585A1025,Marathon Petroleum Corp,MPN.GTX,MPN,Oil & Gas Refining and Marketing (NEC),50236373541
US5719032022,Marriott International Inc,MAR.GTX,MAQ,"Hotels, Motels & Cruise Lines (NEC)",49896525778
US0394831020,Archer-Daniels-Midland Co,ADM.GTX,ADM,Food Processing (NEC),49267756299
US9285634021,VMware Inc,VMWa.GTX,BZF1,IT Services & Consulting (NEC),49031953454
US4824801009,KLA Corp,KLAC.GTX,KLA,Semiconductor Testing Equipment & Service,48798933434
US2910111044,Emerson Electric Co,EMR.GTX,EMR,Electrical Components & Equipment (NEC),48332862000
US1273871087,Cadence Design Systems Inc,CDNS.GTX,CDS,Software (NEC),47590389900
US61174X1090,Monster Beverage Corp,MOB.GTX,MOB,Energy Drinks,46803238520
US2788651006,Ecolab Inc,ECL.GTX,ECJ,Specialty Chemicals (NEC),46689781946
US21036P1084,Constellation Brands Inc,STZ.GTX,CB1A,Brewers (NEC),46490941721
US25179M1036,Devon Energy Corp,DVN.GTX,DY6,Oil & Gas Exploration and Production (NEC),46241976000
US91913Y1001,Valero Energy Corp,V1L.GTX,V1L,Oil & Gas Refining and Marketing (NEC),46141806455
US4278661081,Hershey Co,HSY.GTX,HSY,Food Processing (NEC),46053626993
US5007541064,Kraft Heinz Co,KHNZ.GTX,KHNZ,Food Processing (NEC),45831446537
US3703341046,General Mills Inc,GIS.GTX,GRM,Food Processing (NEC),45750549427
US7607591002,Republic Services Inc,RSGU.GTX,RPU,Environmental Services & Equipment (NEC),45090001860
US7043261079,Paychex Inc,PAYX.GTX,PCX,Outsourcing & Staffing Services,44390915565
US1696561059,Chipotle Mexican Grill Inc,C9F.GTX,C9F,Quick Service Restaurants,44334588329
US22052L1044,Corteva Inc,2X0.GTX,2X0,Fishing & Farming (NEC),44143598000
US67103H1077,O'Reilly Automotive Inc,ORLY.GTX,OM6,Automotive Parts & Accessories Retailers,44140448416
US0320951017,Amphenol Corp,APH.GTX,XPH,Electronic Components,43737713648
US5024311095,L3harris Technologies Inc,HRS.GTX,HRS,Aerospace & Defense (NEC),43664876895
US30161N1019,Exelon Corp,EXC.GTX,PEO,Electric Utilities (NEC),43622478637
US0527691069,Autodesk Inc,ADSK.GTX,AUD,Application Software,43547404343
US48251W1045,KKR & Co Inc,KR51.GTX,KR51,Investment Management,43473178928
US4943681035,Kimberly-Clark Corp,KMB.GTX,KMY,Sanitary Products,43053594165
US7185461040,Phillips 66,PSX.GTX,R66,Oil & Gas Refining and Marketing (NEC),43034831137
US7766961061,Roper Technologies Inc,ROP.GTX,ROP,Application Software,42677361676
US22788C1053,CrowdStrike Holdings Inc,45C.GTX,45C,IT Services & Consulting (NEC),42617613835
US35671D8570,Freeport-McMoRan Inc,FCXb.GTX,FPMB,Specialty Mining & Metals (NEC),42306401294
US7561091049,Realty Income Corp,O.GTX,RY6,Commercial REITs (NEC),42168188627
US98138H1014,Workday Inc,W7D.GTX,W7D,Application Software,42127360000
US8718291078,Sysco Corp,SYY.GTX,SYY,Food Retail & Distribution (NEC),41612392401
US49456B1017,Kinder Morgan Inc,2KD.GTX,2KD,Oil & Gas Transportation Services (NEC),41467973749
US9694571004,Williams Companies Inc,WMB.GTX,WMB,Oil & Gas Transportation Services (NEC),41466580051
US0533321024,Autozone Inc,AZO.GTX,AZ5,Automotive Parts & Accessories Retailers,41298314676
US1729081059,Cintas Corp,CTAS.GTX,CIT,Business Support Services (NEC),41167360908
US8522341036,Block Inc,SQ3.GTX,SQ3,Transaction & Payment Services,40670244283
US6200763075,Motorola Solutions Inc,MOT.GTX,MTLA,Communications & Networking (NEC),40621508763
US98389B1008,Xcel Energy Inc,XEL.GTX,NRN,Electric Utilities (NEC),40614106252
US14040H1059,Capital One Financial Corp,COF.GTX,CFX,Consumer Credit Cards Services,40613716000
