,symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,Index
78,QCOM,Qualcomm,Technology,Technology,"San Diego, CALIFORNIA",,0000804328,1991-12-01,NASD
79,REGN,Regeneron Pharmaceuticals,Healthcare,Healthcare,"Tarrytown, NEW YORK",,0000872589,1991-01-01,NASD
80,ROST,Ross Stores,Consumer Cyclical,Consumer Cyclical,"Dublin California, CALIFORNIA",,0000745732,1985-08-08,NASD
81,SGEN,Seagen,Healthcare,Healthcare,"Bothell, WASHINGTON",,0001060736,2001-03-07,NASD
82,SIRI,Sirius XM,Communication Services,Communication Services,"New York City, NEW YORK",,0000908937,1994-09-13,NASD
83,SWKS,Skyworks Solutions,Technology,Technology,"Irvine, CALIFORNIA",,0000004127,2002-07-03,NASD
84,SPLK,Splunk,Technology,Technology,"San Francisco, CALIFORNIA",,0001353283,2012-04-19,NASD
85,SBUX,Starbucks,Consumer Cyclical,Consumer Cyclical,"Seattle, WASHINGTON",,0000829224,1992-06-01,NASD
86,SNPS,Synopsys,Technology,Technology,"Mountain View, CALIFORNIA",,0000883241,1992-02-26,NASD
87,TMUS,T-Mobile US,Communication Services,Communication Services,"Bellevue, WASHINGTON",,0001283699,2007-04-18,NASD
88,TSLA,Tesla,Consumer Cyclical,Consumer Cyclical,"Palo Alto, CALIFORNIA",,0001318605,2010-06-29,NASD
89,TXN,Texas Instruments,Technology,Technology,"Dallas, TEXAS",,0000097476,1953-10-01,NASD
90,TCOM,Trip.com Group,Consumer Cyclical,Consumer Cyclical,"Shanghai, SHANGHAI",,0001269238,2003-12-09,NASD
91,VRSN,Verisign,Technology,Technology,"Reston, VIRGINIA",,0001014473,1998-01-29,NASD
92,VRSK,Verisk Analytics,Industrials,Industrials,"Jersey City, NEW JERSEY",,0001442145,2009-10-09,NASD
93,VRTX,Vertex Pharmaceuticals,Healthcare,Healthcare,"Boston, MASSACHUSETTS",,0000875320,1991-07-24,NASD
94,WBA,Walgreens Boots Alliance,Healthcare,Healthcare,"Deerfield, ILLINOIS",,0001618921,2014-12-31,NASD
95,WDAY,Workday,Technology,Technology,"Pleasanton, CALIFORNIA",,0001327811,2012-12-10,NASD
96,XEL,Xcel Energy,Utilities,Utilities,"Minneapolis, MINNESOTA",,0000072903,1949-02-28,NASD
97,XLNX,Xilinx,Technology,Technology,"San Jose, CALIFORNIA",,0000743988,1990-06-01,NASD
98,ZM,Zoom Video Communications,Communication Services,Communication Services,"San Jose, CALIFORNIA",,0001585521,2019-04-18,NASD
0,CRM,Salesforce.Com Inc,Technology,Technology,"San Francisco, CALIFORNIA",2020-08-31,0001108524,2004-06-23,DJ
1,WBA,Walgreens Boots Alliance Inc,Healthcare,Healthcare,"Deerfield, ILLINOIS",2018-06-26,0001618921,2014-12-31,DJ
2,V,Visa Inc,Financial Services,Financial Services,"San Francisco, CALIFORNIA",2013-09-23,0001403161,2008-03-19,DJ
3,NKE,Nike Inc,Consumer Cyclical,Consumer Cyclical,"Beaverton, OREGON",2013-09-23,0000320187,1990-10-17,DJ
4,UNH,UnitedHealth Group Inc,Healthcare,Healthcare,"Hopkins, MINNESOTA",2012-09-24,0000731766,1984-10-17,DJ
5,TRV,Travelers Companies Inc,Financial Services,Financial Services,"Saint Paul, MINNESOTA",2009-06-08,0000086312,1991-11-08,DJ
6,VZ,Verizon Communications Inc,Communication Services,Communication Services,"New York City, NEW YORK",2004-04-08,0000732712,1984-02-15,DJ
7,INTC,Intel Corp,Technology,Technology,"Santa Clara, CALIFORNIA",1999-11-01,0000050863,1971-10-13,DJ
8,WMT,Walmart Inc,Consumer Defensive,Consumer Defensive,"Bentonville, ARKANSAS",1997-03-17,0000104169,1972-08-25,DJ
9,JNJ,Johnson & Johnson,Healthcare,Healthcare,"New Brunswick, NEW JERSEY",1997-03-17,0000200406,1944-09-25,DJ
10,DIS,Walt Disney Co,Consumer Cyclical,Consumer Cyclical,"Burbank, CALIFORNIA",1994-01-01,0001744489,1957-11-12,DJ
11,MCD,Mcdonald's Corp,Consumer Cyclical,Consumer Cyclical,"Chicago, ILLINOIS",1994-01-01,0000063908,1966-07-05,DJ
12,JPM,JPMorgan Chase & Co,Financial Services,Financial Services,"New York City, NEW YORK",1994-01-01,0000019617,1969-03-05,DJ
13,CAT,Caterpillar Inc,Industrials,Industrials,"Deerfield, ILLINOIS",1994-01-01,0000018230,1929-12-02,DJ
14,BA,Boeing Co,Industrials,Industrials,"Chicago, ILLINOIS",1994-01-01,0000012927,1934-09-05,DJ
15,AMGN,Amgen Inc,Healthcare,Healthcare,"Thousand Oaks, CALIFORNIA",2020-08-31,0000318154,1987-05-01,DJ
16,DOW,Dow Inc,Basic Materials,Basic Materials,"Midland, MICHIGAN",2019-04-02,0001751788,2019-03-20,DJ
17,AAPL,Apple Inc,Technology,Technology,"Cupertino, CALIFORNIA",2015-03-19,0000320193,1980-12-12,DJ
18,GS,Goldman Sachs Group Inc,Financial Services,Financial Services,"New York City, NEW YORK",2013-09-23,0000886982,1999-05-04,DJ
19,CSCO,Cisco Systems Inc,Technology,Technology,"San Jose, CALIFORNIA",2009-06-08,0000858877,1990-02-01,DJ
20,MSFT,Microsoft Corp,Technology,Technology,"Redmond, WASHINGTON",1999-11-01,0000789019,1986-03-13,DJ
21,HD,Home Depot Inc,Consumer Cyclical,Consumer Cyclical,"Atlanta, GEORGIA",1999-11-01,0000354950,1984-04-19,DJ
22,PG,Procter & Gamble Co,Consumer Defensive,Consumer Defensive,"Cincinnati, OHIO",1994-01-01,0000080424,1950-03-22,DJ
23,MRK,Merck & Co Inc,Healthcare,Healthcare,"Kenilworth, NEW JERSEY",1994-01-01,0000310158,1946-06-15,DJ
24,IBM,International Business Machines Corp,Technology,Technology,"Armonk, NEW YORK",1994-01-01,0000051143,1915-11-11,DJ
25,HON,Honeywell International Inc,Industrials,Industrials,"Charlotte, NORTH CAROLINA",1994-01-01,0000773840,1985-09-19,DJ
26,KO,Coca-Cola Co,Consumer Defensive,Consumer Defensive,"Atlanta, GEORGIA",1994-01-01,0000021344,1919-09-05,DJ
27,CVX,Chevron Corp,Energy,Energy,"San Ramon, CALIFORNIA",1994-01-01,0000093410,1921-06-24,DJ
28,AXP,American Express Co,Financial Services,Financial Services,"New York City, NEW YORK",1994-01-01,0000004962,1977-05-18,DJ
29,MMM,3M Co,Industrials,Industrials,"Saint Paul, MINNESOTA",1994-01-01,0000066740,1946-01-14,DJ
