"Symbol";"Name";"Interesting";"Description";"Assets";"ETF_Currency";"Industry";"Region";"Region_Currency";"Capitalisation";"Weighting";"Type";"P/E";"Dividends";"Long-Short";"Leverage";"ER";"Liquidity";"FX_risk";"Short_Name";"Bloomberg_Ticker";"ISIN";"Indexname";"Bloomberg_Index";"Reuters_Index"
"HILO";"EGShares Low Volatility EM Dividend ETF";"No";"This ETF tracks the Indxx Low Volatility Emerging Markets Dividend Index, a benchmark that is dividend yield weighted and is constructed to deliver higher yields and lower volatility than market cap weighted EM indexes. ETF focuses on high yielding and low volatility stocks. HILO holds a basket of roughly 30 holdings, each of which are considered to be less risky stocks that also produce attractive and high dividend yields. HILO can be a useful tool for investors wishing to gain exposure to emerging markets while scaling back risk.:::.";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Mixed";"check";"Low Volatility";"No";"Dividends";"Long";"No";"C+";"B";"Yes";"Low Volatility EM Dividend";"Check";"Check";"Check";"Check";"Check"
"HOLD";"Sage Core Reserves ETF";"No";"Invests in a broad range of fixed-income securities, U.S. dollar- denominated investment grade debt securities, including mortgage- or asset-backed securities rated Baa- or higher. The average duration of the Fund will vary on the forecast for interest rates and will normally not exceed one year. Cash & Equivalents 50%";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"Short-Term";"No";"No";"Long";"No";"B-";"Check";"No FX risk for USD";"Sage Core Reserves";"Check";"Check";"Check";"Check";"Check"
"HUSE";"Huntington US Equity Rotation Strat ETF";"No";"Under normal market conditions, the ETF invests in companies that are organized in the US and included in the S&P Composite 1500, which is comprised of large-cap, mid-cap and small-cap companies. The ETF may over- or under-weight certain industry sectors and segments of the S&P Composite 1500, depending on which the managers believe to have the greatest or least potential for capital appreciation given the current market environment. This ETF may be appropriate for long-term investors looking for a unique approach to pursuing capital appreciation. It may provide an important overlay to the investor's portfolio as the advisors seek to enhance performance through emphasizing the market sectors and segments believed most promising. Different sectors within the S&P Composite 1500 typically outperform the market at various times. Market environments may cause certain sectors of businesses to perform more favorably than others. For instance, when technology companies are performing relatively well, financial companies may be taking a hit. The advisor attempts to identify the companies that may experience more profitability given the current economic cycle and overweight its portfolio in companies within that sector.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"check";"Fundamentals";"No";"No";"Long";"No";"C";"C+";"No FX risk for USD";"Huntington US Equity Rotation Strat";"Check";"Check";"Check";"Check";"Check"
"HVPW";"U.S. Equity High Volatility Put Write Index Fund";"No";"Reflects the performance of a portfolio of exchange-traded put options on a selection of the largest capitalized stocks which also have listed options and which have the highest volatility. Seek to obtain income through selling put options: selling 60 day listed put options every 2 months (6 times per year) on 20 stocks. Investors assume the risk that the underlying referenced equities may close below their strike price, and investors also give up the upside on the underlying equities above the income the fund receives from selling the options. The strike price of each put option included in the Index must be as close as possible to 85% of the closing price of the option’s underlying stock price as of the beginning of each 60-day period.";"Alternatives";"USD";"Put Selling";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"Yes";"B-";"B";"No FX risk for USD";"U.S. Equity High Volatility Put Write";"Check";"Check";"Check";"Check";"Check"
"HYD";"Market Vectors High-Yield Muni ETF";"No";"HYD invests in BBB-rated and non-investment grade municipal bonds. It tracks the Barclays Capital Municipal Custom High-Yield Index. Similar to JNK, this ETF also has an upside potential since it can be a source of attractive high yields. Another advantage of investing in this asset class is that municipal bond interest payments are exempt from federal taxes, making HYD particularly appealing to investors in higher tax brackets. With interest rates expected to remain low in the foreseeable future, many investors are increasing their risk appetite and tapping into the high yield corner of the fixed income market as a means of beefing up their portfolio’s current return.:::.";"Bonds";"USD";"Munis (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"B-";"A+";"No FX risk for USD";"High-Yield Muni";"Check";"Check";"Check";"Check";"Check"
"HYEM";"Market Vectors Emer Mkts Hi Yld Bond ETF";"No";"Ok";"Bonds";"USD";"Corporate (Junk)";"Emerging Broad";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"A-";"B+";"Yes";"Emers Hi Yld Bond";"Check";"Check";"Check";"Check";"Check"
"HYG";"iBoxx $ High Yield Corporate Bd";"No";"Ok";"Bonds";"USD";"Corporate (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"B-";"A";"No FX risk for USD";"iBoxx $ High Yield Corporate Bd";"Check";"Check";"Check";"Check";"Check"
"HYLD";"Peritus High Yield ETF";"No";"70% from B+ to B-. 20% Oil & Gas. Avg Coupon 9.3%. 74 issues";"Bonds";"USD";"Corporate (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"B+";"No FX risk for USD";"Peritus High Yield";"Check";"Check";"Check";"Check";"Check"
"HYMB";"SPDR Nuveen S&P High Yield Municipal Bd";"No";"High yield munis";"Bonds";"USD";"Munis (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"B+";"No FX risk for USD";"Nuveen S&P High Yield Municipal Bd";"Check";"Check";"Check";"Check";"Check"
"HYS";"PIMCO 0-5 Year Hi Yld Corp Bond Idx ETF";"No";"Ok";"Bonds";"USD";"Corporate (Junk)";"Developed North America (US)";"USD";"No";"check";"Short-Term";"No";"No";"Long";"No";"C+";"A-";"No FX risk for USD";"0-5 Year Hi Yld Corp Bond";"Check";"Check";"Check";"Check";"Check"
"HYXU";"Global ex USD High Yield Corp Bd";"No";"Ok";"Bonds";"USD";"Corporate (Junk)";"Broad excl US";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"A";"C";"Yes";"Global ex USD High Yield Corp Bd";"Check";"Check";"Check";"Check";"Check"
"IAI";"Dow Jones US Broker-Dealers";"No";"Ok";"Equity";"USD";"Financials (Capital Markets)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"B+";"No FX risk for USD";"DJ US Broker-Dealers";"Check";"Check";"Check";"Check";"Check"
"IAK";"Dow Jones US Insurance";"No";"Ok";"Equity";"USD";"Financials (Insurance)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"B+";"No FX risk for USD";"DJ US Insurance";"Check";"Check";"Check";"Check";"Check"
"IAT";"Dow Jones US Regional Banks";"No";"Ok";"Equity";"USD";"Financials (Regional Banks)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"A";"No FX risk for USD";"DJ US Regional Banks";"Check";"Check";"Check";"Check";"Check"
"IAU";"Gold Trust";"No";"IAU is the second largest and most popular physically-backed gold ETF on the market. The fund is designed to track spot prices of gold bullion by holding gold bars in a secure vault. Although there are other physically-backed ETF options, IAU distinguishes itself by offering an attractively low expense ratio of just 0.25%, making this fund by far the cheapest option available to investors looking to for physically-backed exposure to the precious metal.:::.";"Commodities";"USD";"Precious Metals (Gold)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A+";"A";"Yes";"Gold Trust";"Check";"Check";"Check";"Check";"Check"
"IBB";"Nasdaq Biotechnology";"No";"This ETF tracks the NASDAQ Biotechnology Index, offering exposure to biotechnology and pharmaceutical companies. This ETF holds a total of 119 stocks, with the top ten securities accounting for roughly half of the entire portfolio. In terms of specific sub-sector breakdown, the majority of the fund is comprised of well-known pharmaceutical companies such as Agmen, Alexion Pharmaceuticals, and Celgene. IBB is very well-rounded across all market cap levels, with mid caps receiving the greatest allocation, followed by large caps. The overwhelming majority of securities included in IBB are U.S. equities, although minimal exposure to Israel and the United Kingdom is also included.:::.";"Equity";"USD";"Healthcare (Biotechnology)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"A";"No FX risk for USD";"Nasdaq Biotechnology";"Check";"Check";"Check";"Check";"Check"
"IBND";"SPDR Barclays Capital Intl Corp Bond";"No";"Ok";"Bonds";"USD";"Corporate (Investment Grade)";"Broad excl US";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"B+";"Yes";"Capital Intl Corp Bond";"Check";"Check";"Check";"Check";"Check"
"ICF";"Cohen & Steers Realty Majors";"No";"Ok";"Real Estate";"USD";"Real Estate";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"No";"A-";"A-";"No FX risk for USD";"Cohen & Steers Realty Majors";"Check";"Check";"Check";"Check";"Check"
"ICI";"iPath Optimized Currency Carry ETN";"No";"Financing mainly in CAD (47%) and EUR (20%),  invested in AUD (60%), NOK (25%). The pool of currencies to which the Index may apply carry trade strategies is commonly referred to as the ""G10 currencies"" and includes the U.S. dollar, the euro, the Japanese yen, the Canadian dollar, the Swiss franc, the British pound sterling, the Australian dollar, the New Zealand dollar, the Norwegian krone and the Swedish krona.";"Currency";"USD";"Diversified";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"C+";"B";"Yes";"Optimized Currency Carry";"Check";"Check";"Check";"Check";"Check"
"ICLN";"S&P Global Clean Energy Index";"No";"Ok";"Equity";"USD";"Energy (Clean Energy)";"Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A-";"Yes";"S&P Global Clean Energy";"Check";"Check";"Check";"Check";"Check"
"ICN";"WisdomTree Dreyfus Indian Rupee";"No";"This ETF seeks to deliver returns reflective of both money market rates available in India and changes in the value of the Indian Rupee relative to the U.S. dollar. ICN can be thought of as an investment in Indian money markets; it seeks to achieve total returns reflective of both money market rates in India available to foreign investors and changes in value the Indian rupee relative to the U.S. dollar. The fund invests in rupee forwards and collateralizes the investment with U.S. Treasury bills to further boost overall returns. ICN is an attractive and cost-effective option thanks to its relatively low expense ratio of only 45 basis points.:::.";"Currency";"USD";"Currency INR (Indian Rupee)";"Emerging Asia (India)";"USD";"No";"check";"No";"No";"No";"Long";"No";"B+";"B+";"Yes";"Dreyfus Indian Rupee";"Check";"Check";"Check";"Check";"Check"
"IDHB";"PowerShares S&P Intl Dev High Beta";"high beta";"This ETF offers exposure to developed markets outside the U.S., making it one of many tools available for accessing an asset class that is at the core of many long-term portfolios. IDHB is unique in that it focuses on high beta stocks from the universe of ex-U.S. developed market securities, which should result in a portfolio with greater volatility than broad-based ETFs in the same peer group. From a market cap perspective, IDHB consists of mostly large and medium cap stocks with heavy exposure to European securities. The underlying portfolio includes exposure to financial services, industrials, and basic materials with smaller allocations to energy and utilities.:::.";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"C+";"Yes";"S&P Intl Dev High Beta";"Check";"Check";"Check";"Check";"Check"
"IDHQ";"PowerShares S&P Intl Dev High Quality";"No";"The index generally will invest at least 90% of its total assets in companies that are identified by the Index as high quality stocks based on historical records of earnings and dividends.";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"B";"C+";"Yes";"S&P Intl Dev High Quality";"Check";"Check";"Check";"Check";"Check"
"IDLV";"PowerShares S&P Intl Dev Low Volatility";"No";"The index is designed to measure the performance of 200 of the least volatile stocks of the S&P Developed ex US and South Korea LargeMid Cap BMI Index. The S&P Developed ex US and South Korea LargeMid Cap BMI Index includes all publicly listed equity securities with float adjusted market values of at least $100 million and annual dollar value traded of at least $50 million from the following countries: Australia, Austria, Belgium, Canada, Denmark, Finland, France, Germany, Greece, Hong Kong, Ireland, Israel, Italy, Japan, Luxembourg, the Netherlands, New Zealand, Norway, Portugal, Singapore, Spain, Sweden, Switzerland, and the United Kingdom.";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Mixed";"check";"Low Volatility";"No";"No";"Long";"No";"A";"B+";"Yes";"S&P Intl Dev Low Volatility";"Check";"Check";"Check";"Check";"Check"
"IDOG";"ALPS International Sector Dividend Dogs ETF";"No";"Attempt to combine high dividends paying stocks and diversification acros sectors and upside potential. Focuses on international large-cap companies and applies the theory on a sector-by-sector basis to the S-Net Developed Markets Index (ex-Americas). 10 sectors of the market by selecting the five highest yielding securities in each sector and equally weighting them. JP 16%, Australia 12%";"Equity";"USD";"Diversified";"Broad excl US";"Mixed";"Mixed";"check";"No";"No";"Dividends";"Long";"No";"B";"B";"Yes";"International Sector Dividend Dogs";"Check";"Check";"Check";"Check";"Check"
"IDU";"Dow Jones US Utilities";"No";"Ok";"Equity";"USD";"Utilities";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"DJ US Utilities";"Check";"Check";"Check";"Check";"Check"
"IDV";"Dow Jones Intl Select Div Idx";"No";"IDV is linked to a benchmark (This ETF tracks the Dow Jones EPAC Select Dividend Index) that consists of companies that have provided relatively high dividend yields on a consistent basis over time. IDV gives its largest individual country weightings to Australia and the United Kingdom, and invests exclusively in developed markets outside of U.S. borders. When mild signs of economic turmoil emerge, investors will tend to gravitate towards stocks that provide a meaningful current return instead of those that may offer greater capital appreciation. Investors who wish to avoid international exposure should consider VIG, which measure the performance of U.S. common stocks that have a history of increasing dividends for at least ten consecutive years.:::.";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Large";"check";"No";"No";"Dividends";"Long";"No";"B-";"A";"Yes";"DJ Intl Select Div";"Check";"Check";"Check";"Check";"Check"
"IDX";"Market Vectors Indonesia Index ETF";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (Indonesia)";"IDR";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A-";"Yes";"Indonesia";"Check";"Check";"Check";"Check";"Check"
"IDXJ";"Market Vectors Indonesia Small-Cap ETF";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (Indonesia)";"IDR";"Small";"check";"No";"No";"No";"Long";"No";"B+";"B-";"Yes";"Indonesia Small-Cap";"Check";"Check";"Check";"Check";"Check"
"IEF";"Barclays 7-10 Year Treasury";"No";"Ok";"Bonds";"USD";"State";"Developed North America (US)";"USD";"No";"check";"Intermediate-Term";"No";"No";"Long";"No";"B+";"A";"No FX risk for USD";"7-10 Year Treasury";"Check";"Check";"Check";"Check";"Check"
"IEI";"Barclays 3-7 Year Treasury Bond";"No";"Ok";"Bonds";"USD";"State";"Developed North America (US)";"USD";"No";"check";"Intermediate-Term";"No";"No";"Long";"No";"B-";"A";"No FX risk for USD";"3-7 Year Treasury Bond";"Check";"Check";"Check";"Check";"Check"
"IEO";"Dow Jones US Oil & Gas Ex Index";"No";"This ETF tracks an index that seeks to capture the performance of the oil exploration and production sub-sector of the U.S. equity market. The fund’s underlying assets are comprised of 66 individual securities with allocations heavily biased towards its top ten holdings, which account for nearly two thirds of the fund’s total assets. IEO’s top holdings include Occidental Petroleum Corporation (17.5%), Anadarko Petroleum Corp (9.1%), and Apache Corporation (8.5%). The fund is predominately dominated by large and mid cap stocks, making for an intriguing risk/return profile.:::.";"Equity";"USD";"Energy (Oil & Gas Exploration & Production)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"B+";"No FX risk for USD";"DJ US Oil & Gas Ex";"Check";"Check";"Check";"Check";"Check"
"IEV";"S&P Europe 350 Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed Europe";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"A-";"Yes";"S&P Europe 350";"Check";"Check";"Check";"Check";"Check"
"IEZ";"Dow Jones US Oil Equipment Index";"No";"This ETF invests in companies that are suppliers of equipment or services to oil fields and offshore oil platforms, such as drilling, exploration, engineering, logistics, and platform construction. IEZ has more than 40 individual holdings. Companies engaged in activities related to oil drilling often see increases in demand for their services during periods of high inflation. IEZ offers exposure to a group of U.S. companies that generally see their share prices rise when oil prices spike.:::.";"Equity";"USD";"Energy (Oil Equipment & Services)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"A-";"No FX risk for USD";"DJ US Oil Equipment";"Check";"Check";"Check";"Check";"Check"
"IFEU";"FTSE EPRA/NAREIT Dev EU Idx";"No";"Ok";"Real Estate";"USD";"Real Estate";"Developed Europe";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A-";"C";"Yes";"EPRA/NAREIT Dev EU";"Check";"Check";"Check";"Check";"Check"
"IFGL";"FTSE EPRA/NAREIT Dev RE ex-US";"No";"This ETF is designed to measure the performance of companies engaged in the ownership and development of the Canadian, European, and Asian real estate markets. IFGL invests primarily in developed economies, but also maintains significant interests in countries such as Singapore, China, and Hong Kong. This ETF has holdings in more than 150 REITs located in nearly 20 countries.:::.";"Real Estate";"USD";"Real Estate";"Broad excl US";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B+";"A+";"Yes";"EPRA/NAREIT Dev RE ex-US";"Check";"Check";"Check";"Check";"Check"
"IFSM";"FTSE Dev Sm Cap ex-North Amer";"No";"Ok";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Small";"check";"No";"No";"No";"Long";"No";"B";"B-";"Yes";"Dev Sm Cap ex-North Amer";"Check";"Check";"Check";"Check";"Check"
"IGE";"S&P North Amer Natural Resources";"No";"Ok";"Equity";"USD";"Materials";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P North Amer Natural Res";"Check";"Check";"Check";"Check";"Check"
"IGF";"S&P Global Infrastructure Index";"No";"Ok";"Equity";"USD";"Utilities (Infrastructure)";"Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A-";"Yes";"S&P Global Infrastructure";"Check";"Check";"Check";"Check";"Check"
"IGM";"S&P North Amer Technology";"No";"Ok";"Equity";"USD";"Technology";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"B+";"No FX risk for USD";"S&P North Amer Technology";"Check";"Check";"Check";"Check";"Check"
"IGN";"S&P North Amer Tech-Multimd Ntwk";"No";"Ok";"Equity";"USD";"Technology (Networking)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"B+";"No FX risk for USD";"S&P North Amer Tech-Multimd Ntwk";"Check";"Check";"Check";"Check";"Check"
"IGOV";"S&P/Citi Intl Treasury Bond";"No";"Ok";"Bonds";"USD";"State";"Broad excl US";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"A";"A";"Yes";"S&P/Citi Intl Treasury Bond";"Check";"Check";"Check";"Check";"Check"
"IGU";"ProShares Ultra Investment Grade Corp";"No";"Ok";"Bonds";"USD";"Corporate (Investment Grade)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"Yes";"A-";"B-";"No FX risk for USD";"Ultra Investment Grade Corp";"Check";"Check";"Check";"Check";"Check"
"IGV";"S&P North Amer Tech-Software";"No";"Ok";"Equity";"USD";"Technology (Software)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"A-";"No FX risk for USD";"S&P North Amer Tech-Software";"Check";"Check";"Check";"Check";"Check"
"IHE";"Dow Jones US Pharmaceuticals";"No";"Ok";"Equity";"USD";"Healthcare (Pharmaceutical)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"B";"No FX risk for USD";"DJ US Pharmaceuticals";"Check";"Check";"Check";"Check";"Check"
"IHF";"Dow Jones US Healthcare Provider";"No";"This ETF tracks an index that measures the performance of the healthcare providers sub-sector of the U.S. equity market. A sub-sector that is expected to exhibit substantial growth as millions of baby boomers continue to age, giving rise to more demand for services from healthcare providers. Given the fund’s narrowed focus, it is not surprising to find that it maintains a relatively shallow portfolio of just over 45 holdings. Furthermore, IHF’s assets are heavily concentrated in its top ten holdings, which account for over two-thirds of total assets.:::.";"Equity";"USD";"Healthcare (Providers)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"B+";"No FX risk for USD";"DJ US Healthcare Provider";"Check";"Check";"Check";"Check";"Check"
"IHI";"Dow Jones US Medical Devices";"No";"Ok";"Equity";"USD";"Healthcare (Medical Devices)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"B+";"No FX risk for USD";"DJ US Medical Devices";"Check";"Check";"Check";"Check";"Check"
"IHY";"Market Vectors Intl High Yield Bond ETF";"No";"Ok";"Bonds";"USD";"Corporate (Investment Grade)";"Broad excl US";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A-";"A-";"Yes";"Intl High Yield Bond";"Check";"Check";"Check";"Check";"Check"
"IJH";"Core S&P Mid-Cap ETF";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Medium";"check";"No";"No";"No";"Long";"No";"A-";"A";"No FX risk for USD";"Core S&P Mid-Cap";"Check";"Check";"Check";"Check";"Check"
"IJJ";"S&P MidCap 400 Value Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Medium";"check";"No";"Low P/E";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P MidCap 400 Value";"Check";"Check";"Check";"Check";"Check"
"IJK";"S&P MidCap 400 Growth Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Medium";"check";"No";"High P/E";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P MidCap 400 Growth";"Check";"Check";"Check";"Check";"Check"
"IJR";"Core S&P Small-Cap ETF";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Small";"check";"No";"No";"No";"Long";"No";"A";"A";"No FX risk for USD";"Core S&P Small-Cap";"Check";"Check";"Check";"Check";"Check"
"IJS";"S&P SmallCap 600 Value Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Small";"check";"No";"Low P/E";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P SmallCap 600 Value";"Check";"Check";"Check";"Check";"Check"
"IJT";"S&P SmallCap 600 Growth";"No";"Ok";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Small";"check";"No";"High P/E";"No";"Long";"No";"A-";"A";"No FX risk for USD";"S&P SmallCap 600 Growth";"Check";"Check";"Check";"Check";"Check"
"ILB";"PIMCO Global Advantage Infl-Lkd Bd ETF";"No";"Ok";"Bonds";"USD";"State (Infl-Linked)";"Broad excl US";"Mixed";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"C+";"Yes";"Global Advantage Infl-Lkd Bd";"Check";"Check";"Check";"Check";"Check"
"ILF";"S&P Latin America 40 Index";"No";"This fund tracks the S&P Latin America 40 Index, which measures the performance of four major Latin American equity markets: Mexico, Brazil, Argentina, and Chile. South America has very favorable demographic trends developing, which are already manifesting themselves as seen with rising levels of urbanization and a booming consumer base. Investors who are bullish on South America should also consider the Andean 40 ETF (AND), which tracks the performance of the 40 largest companies in Chile, Colombia, and Peru.::.";"Equity";"USD";"Diversified";"Emerging South and Lat Am";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A";"Yes";"S&P Latin America 40";"Check";"Check";"Check";"Check";"Check"
"ILTB";"Core Long-Term US Bond ETF";"No";"Ok";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"Long-Term";"No";"No";"Long";"No";"A-";"B-";"No FX risk for USD";"Core Long-Term US Bond";"Check";"Check";"Check";"Check";"Check"
"IMLP";"iPath® S&P MLP ETN";"No";"Provide exposure to leading partnerships that trade on major U.S. exchanges and are classified in the GICS® Energy Sector and GICS® Gas Utilities Industry. ";"Commodities";"USD";"Energy";"Developed North America (US)";"USD";"No";"check";"No";"No";"No";"Long";"No";"A";"C+";"No FX risk for USD";"iPathS&P MLP";"Check";"Check";"Check";"Check";"Check"
"INCO";"EGShares India Consumer";"No";"Ok";"Equity";"USD";"Consumer (Discretionaries)";"Emerging Asia (India)";"INR";"Mixed";"check";"No";"No";"No";"Long";"No";"C";"C+";"Yes";"India Consumer";"Check";"Check";"Check";"Check";"Check"
"INDA";"MSCI India Index";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (India)";"INR";"Large";"check";"No";"No";"No";"Long";"No";"B";"A-";"Yes";"India";"Check";"Check";"Check";"Check";"Check"
"INDL";"Direxion Daily India Bull 3X Shares";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (India)";"INR";"Large";"check";"No";"No";"No";"Long";"Yes";"A";"B+";"Yes";"Daily India Bull 3X Shares";"Check";"Check";"Check";"Check";"Check"
"INDY";"S&P India Nifty 50 Index";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia (India)";"INR";"Large";"check";"No";"No";"No";"Long";"No";"C";"B+";"Yes";"S&P India Nifty 50";"Check";"Check";"Check";"Check";"Check"
"INKM";"SPDR SSgA Income Allocation ETF";"No";"total return by focusing on investment in income and yield-generating assets. The Fund invests in exchange traded funds";"Alternatives";"USD";"Multi-assets";"Broad";"Mixed";"No";"check";"No";"No";"Dividends";"Long";"No";"B+";"A-";"Yes";"SSgA Income Allocation";"Check";"Check";"Check";"Check";"Check"
"INP";"iPath MSCI India Index ETN";"No";"Free-float-adjusted market capitalization Index designed to measure the market performance, including price performance and income from dividend payments, of Indian equity securities. The Index seeks to target approximately 85% of the free-float-adjusted market capitalization of equity securities by industry group within India.";"Equity";"USD";"Diversified";"Emerging Asia (India)";"INR";"Large";"check";"No";"No";"No";"Long";"No";"C";"B+";"Yes";"India";"Check";"Check";"Check";"Check";"Check"
"INR";"Market Vectors Indian Rupee/USD ETN";"No";"Ok";"Currency";"USD";"Currency INR (Indian Rupee)";"Emerging Asia (India)";"USD";"No";"check";"No";"No";"No";"Long";"No";"B-";"B";"Yes";"Indian Rupee/USD";"Check";"Check";"Check";"Check";"Check"
"INXX";"EGShares India Infrastructure";"No";"ok";"Equity";"USD";"Utilities (Infrastructure)";"Emerging Asia (India)";"INR";"Mixed";"check";"No";"No";"No";"Long";"No";"C";"B+";"Yes";"India Infrastructure";"Check";"Check";"Check";"Check";"Check"
"INY";"SPDR Nuveen Barclays Capital NY Muni Bd";"No";"Ok";"Bonds";"USD";"Munis";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"A+";"A+";"No FX risk for USD";"Nuveen Capital NY Muni Bd";"Check";"Check";"Check";"Check";"Check"
"IOIL";"IQ Global Oil Small Cap Equity ETF";"No";"Ok";"Equity";"USD";"Energy";"Broad";"Mixed";"Small";"check";"No";"No";"No";"Long";"No";"C";"C+";"Yes";"Global Oil Small Cap Equity";"Check";"Check";"Check";"Check";"Check"
"IOO";"S&P Global 100 Index";"No";"The Index is designed to measure the performance of 100 large transitional companies that are of major importance in the global markets";"Equity";"USD";"Diversified";"Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A-";"B+";"Yes";"S&P Global 100";"Check";"Check";"Check";"Check";"Check"
"IPD";"SPDR S&P International Cons Disc Sector";"No";"Ok";"Equity";"USD";"Consumer (Discretionaries)";"Developed Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"B";"B-";"Yes";"S&P International Cons Disc Sector";"Check";"Check";"Check";"Check";"Check"
"IPE";"SPDR Barclays Capital TIPS";"No";"Ok";"Bonds";"USD";"State (Infl-Linked)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"A";"B+";"No FX risk for USD";"Capital TIPS";"Check";"Check";"Check";"Check";"Check"
"IPF";"SPDR S&P International Financial Sector";"No";"Ok";"Equity";"USD";"Financials";"Developed Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"B-";"Yes";"S&P International Financial Sector";"Check";"Check";"Check";"Check";"Check"
"IPFF";"S&P Intl Preferred Stock Index";"No";"Ok";"Preferred Stock";"USD";"Diversified";"Developed Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B+";"B";"Yes";"S&P Intl Preferred Stock";"Check";"Check";"Check";"Check";"Check"
